date	,	symbol	,	action	,	quantity
2024-12-12	,	CL=F	,	sell	,	10
2024-12-13	,	CL=F	,	buy	,	20
2024-12-16	,	CL=F	,	sell	,	15
2024-12-17	,	CL=F	,	buy	,	30
2024-12-18	,	CL=F	,	sell	,	35
2024-12-19	,	CL=F	,	buy	,	100
2024-12-20	,	CL=F	,	buy	,	500
2024-12-23	,	CL=F	,	sell	,	5
2024-12-24	,	CL=F	,	sell	,	2
2024-12-26	,	CL=F	,	buy	,	40
2024-12-27	,	CL=F	,	sell	,	55
2024-12-30	,	CL=F	,	buy	,	60
2024-12-31	,	CL=F	,	sell	,	10
2025-01-02	,	CL=F	,	buy	,	20
2025-01-03	,	CL=F	,	buy	,	15
2025-01-06	,	CL=F	,	sell	,	30
2025-01-07	,	CL=F	,	sell	,	35
2025-01-08	,	CL=F	,	buy	,	100
2025-01-09	,	CL=F	,	sell	,	500
2025-01-10	,	CL=F	,	buy	,	5
2025-01-12	,	CL=F	,	sell	,	2
2024-12-12	,	GC=F	,	buy	,	40
2024-12-13	,	GC=F	,	buy	,	55
2024-12-16	,	GC=F	,	sell	,	60
2024-12-17	,	GC=F	,	sell	,	10
2024-12-18	,	GC=F	,	buy	,	20
2024-12-19	,	GC=F	,	sell	,	15
2024-12-20	,	GC=F	,	buy	,	30
2024-12-23	,	GC=F	,	sell	,	35
2024-12-24	,	GC=F	,	buy	,	100
2024-12-26	,	GC=F	,	buy	,	500
2024-12-27	,	GC=F	,	sell	,	5
2024-12-30	,	GC=F	,	sell	,	2
2024-12-31	,	GC=F	,	buy	,	40
2025-01-02	,	GC=F	,	sell	,	55
2025-01-03	,	GC=F	,	buy	,	60
2025-01-06	,	GC=F	,	sell	,	10
2025-01-07	,	GC=F	,	buy	,	20
2025-01-08	,	GC=F	,	buy	,	15
2025-01-09	,	GC=F	,	sell	,	30
2025-01-10	,	GC=F	,	sell	,	35
2025-01-12	,	GC=F	,	buy	,	100
2024-12-12	,	SI=F	,	sell	,	500
2024-12-13	,	SI=F	,	buy	,	5
2024-12-16	,	SI=F	,	sell	,	2
2024-12-17	,	SI=F	,	buy	,	40
2024-12-18	,	SI=F	,	buy	,	55
2024-12-19	,	SI=F	,	sell	,	60
2024-12-20	,	SI=F	,	sell	,	10
2024-12-23	,	SI=F	,	buy	,	20
2024-12-24	,	SI=F	,	sell	,	15
2024-12-26	,	SI=F	,	buy	,	30
2024-12-27	,	SI=F	,	sell	,	35
2024-12-30	,	SI=F	,	buy	,	100
2024-12-31	,	SI=F	,	buy	,	500
2025-01-02	,	SI=F	,	sell	,	5
2025-01-03	,	SI=F	,	sell	,	2
2025-01-06	,	SI=F	,	buy	,	40
2025-01-07	,	SI=F	,	sell	,	55
2025-01-08	,	SI=F	,	buy	,	60
2025-01-09	,	SI=F	,	sell	,	10
2025-01-10	,	SI=F	,	buy	,	20
2025-01-12	,	SI=F	,	buy	,	15
